"Partlist exported " "from Centro de Fusion: Christian_U Proyecto: PCB_SMD Placa: " "SMD_V1 v116 at 7/6/2025 0:18"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
"Qty Value         " "   Device                           Package                 " "   Parts                                                                                                                      " "Description                   " "                   " "CATEGORY        " "CELL_DIAMETER " "COLOR " "CONTACTS " "CURRENT_RATING " "DATASHEET                                                                                                 " "DESCRIPTION        " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "FORWARD_CURRENT " "FORWARD_VOLTAGE " "GENDER     " "MANUFACTURER " "            " "          " "MATERIAL_CORE " "MPN           " "OPERATING_TEMP " "OPERATING_TEMPERATURE " "PACKAGE_SIZE " "PACKAGE_TYPE  " "PART_STATUS " "PITCH            "  "RATING " "REVERSE_VOLTAGE " "ROHS      " "ROHS_COMPLIANT " "SERIES " "SUB-CATEGORY " "SUBCATEGORY             " "TEMPERATURE_COEFFICIENT " "THERMALLOSS " "TOLERANCE " "TYPE    " "            " "              " "     " "VOLTAGE_RATING " "ZENER_VOLTAGE" 
"1   1uF           " "   C_CHIP-0603(1608-METRIC)         CAPC1608X85             " "   C14                                                                                                                        " "Capacitor - Generic           " "                   " "Capacitor       " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " 603             "Surface Mount " "            " "                 "  "       " "                " "          " "               " "       " "             " "Ceramic Capacitors      " "                        " "            " "          " "MLCC    " "            " "              " "     " "               " "             " 
"1   200           " "   RESISTOR__CHIP-1206(3216-METRIC) RESC3216X70             " "   R13                                                                                                                        " "Resistor Fixed - Generic      " "                   " "Resistor        " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "Fixed        " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   200nF         " "   CAPACITORCERAMIC-2.54MM          CAP-THRU-2.54MM         " "   C4                                                                                                                         " "Capacitor - Generic           " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   220k          " "   PV36P                            PV36P                   " "   R4                                                                                                                         " "Rectangular Trimmer Potentiome" "ters - PV36 Series " "Potentiometers  " "              " "      " "         " "               " "https://www.bourns.com/docs/Product-Datasheets/pv36.pdf                                                   " "0.5W 1/2W PC Pins T" "hrou" "gh H" "ole " "Tr" "immer" " Pot" "enti" "ome" "ter Cermet " 25   ".0 Tu" "rn Sid" "e Adjustmen" "t         " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "Bourns Inc.  " "            " "          " "              " "PV36Px        " "               " "-55﯃ ~ 125﯃         NA" "           TH" "T           AC" "TIVE        " "                 "  "       " "              CO" "MPLIANT   " "             PV" 36        "           Tr" "immer Potentiometers  ﯱ0" "0ppm/﯃              0.5 " "W       ﯱ0% " "     Side " "Adjustme" "nt Triangle " "Leads         " "     " "               " "        "      
"1   2uH           " "   L_CHIP-0805(2012-METRIC)         INDC2009X120            " "   L1                                                                                                                         " "Inductor Fixed - Generic      " "                   " "Inductors       " "              " "      " "         " "               " "                                                                                                          " "Chip  2.00 X 0.90 X" " 1.2" "0 mm" " bod" "y " "0805(" 2012   "-MET" "RIC" ")          " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " 805             "Surface Mount " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"4   3.3k          " "   RESISTOR__CHIP-1206(3216-METRIC) RESC3216X70             " "   R5, R6, R7, R8                                                                                                             " "Resistor Fixed - Generic      " "                   " "Resistor        " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "Fixed        " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"5   4.7k          " "   RESISTOR__CHIP-1206(3216-METRIC) RESC3216X70             " "   R9, R10, R11, R12, R16                                                                                                     " "Resistor Fixed - Generic      " "                   " "Resistor        " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "Fixed        " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   4.7k          " "   RESISTOR__CHIP-2512(6332-METRIC) RESC6332X71             " "   R17                                                                                                                        " "Resistor Fixed - Generic      " "                   " "Resistor        " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "Fixed        " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   4.7nF         " "   CAPACITORCERAMIC-2.54MM          CAP-THRU-2.54MM         " "   C10                                                                                                                        " "Capacitor - Generic           " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"2   5.11k         " "   RESISTOR__CHIP-1206(3216-METRIC) RESC3216X70             " "   R14, R15                                                                                                                   " "Resistor Fixed - Generic      " "                   " "Resistor        " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "Fixed        " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   74LVC125A     " "   74LVC125A                        74LVC125A               " "   74LVC125A                                                                                                                  " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   796136-1      " "   796136-1                         796136-1                " "   BATT                                                                                                                       " "Battery Holder - Coin Cell SMD" " 20.0mm            " "Battery Holders " "20.0mm        " "      " "         " "               " "https://www.te.com/en/product-796136-1.datasheet.pdf                                                      " "Battery Holder (Ope" "n) C" "oin " "20.0" "mm" " 1 Ce" "ll S" "MD (" "SMT" ") Tab      " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "TE Connectivi" "ty AMP Conne" "ctors     " "              " "796136-1      " "               " "-40﯃ ~ 85﯃          20" "32         Su" "rface Mount Ac" "tive        " "                 "  "       " "              Co" "mpliant   " "             AM" "P      " "           Co" "in Cell Holder          " "                        " "            " "        Re" "tainer  " "            " "              " "     " "               " "           "   
"2   8.2k          " "   RESISTOR__CHIP-2512(6332-METRIC) RESC6332X71             " "   R1, R3                                                                                                                     " "Resistor Fixed - Generic      " "                   " "Resistor        " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "Fixed        " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   ADXL355Z      " "   ADXL355Z                         ADXL355Z                " "   ADXL355Z                                                                                                                   " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   B2B-XH-A      " "   B2B-XH-A                         B2B-XH-A                " "   +12V                                                                                                                       " "XH Connector Top Entry - 2POS " "                   " "Connectors      " "              " "      " "         " "               " "https://www.jst-mfg.com/product/pdf/eng/eXH.pdf                                                           " "Connector Header Th" "roug" "h Ho" "le 2" " p" "ositi" "on 0" ".098" " ("  "2.50mm)    " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "JST Sales Ame" "rica Inc.   " "          " "              " "B2B-XH-A      " "               " "-25﯃ ~ 85﯃          NA" "           Th" "rough Hole  Ac" "tive      0." "098"" (2.50mm)    " "       " "              Co" "mpliant   " "             XH" "       " "           Re" "ctangular Connectors    " "                        " "            " "        Ma" "le Heade" "rs          " "              " "     " "               " "           "   
"1   CH340G        " "   CH340G                           CH340G                  " "   CH340G                                                                                                                     " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"2   CHIP-FLAT-R_12" "06 CHIP-FLAT-R_1206                 LEDC3216X75N_FLAT-R     " "   D2, D7                                                                                                                     " "Red LED - Generic             " "                   " "LED             " "              " "Red   " "         " "               " "                                                                                                          " "Red LED Indication " 1206   " (32" "16 M" "et" "ric) " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " 1206            "Surface Mount " "            " "                 "  "       " "                " "          " "               " "       " "             " "Chip LED                " "                        " "            " "          " "Square w" "ith Flat Top" "              " "     " "               " "             " 
"5   DIODE_ES1D_SMA" "   DIODE_ES1D_SMA                   DIOM5226X290N           " "   D1, D3, D4, D5, D6                                                                                                         " "Diode Rectifier - Popular part" "s                  " "Diode           " "              " "      " "         " "               " "https://www.onsemi.com/download/data-sheet/pdf/es1d-d.pdf                                                 " "Diode 200 V 1A Surf" "ace " "Moun" "t DO" -2   "14AC " "(SMA" ")   " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "1A              " "920mV           " "           " "onsemi       " "            " "          " "              " "ES1D          " "               " "-55﯃ ~ 150﯃         SM" "A          SM" "D           AC" "TIVE        " "                 "  20        "0V            CO" "MPLIANT   " "             ES" "1D     " "           Re" "ctifiers                " "                        " "            " "        Ul" "tra Fast" " Recovery Re" "ctifiers      " "     " "             NA" "           "   
"1   DS3231        " "   DS3231                           DS3231                  " "   DS3231                                                                                                                     " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   ESP32-WROOM-32" "   ESP32-WROOM-32                   ESP32-WROOM-32          " "   ESP32-WROOM                                                                                                                " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   GPS-FGPMMOPA6H" "   GPS-FGPMMOPA6H                   GPS-FGPMMOPA6H          " "   GPS-FPGMMOPA6H                                                                                                             " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   LD33V-SMD     " "   LD33V-SMD                        LD33V-SMD               " "   LD33V                                                                                                                      " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   MICRO-SD      " "   MICRO-SD                         MICRO-SD                " "   MICRO-SD                                                                                                                   " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"1   MP2307        " "   MP2307                           MP2307                  " "   MP2307                                                                                                                     " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
"22  PINHD-1X1     " "   PINHD-1X1                        1X01                    " "   JP1, JP2, JP4, JP5, JP6, JP7, JP8, JP9, JP11, JP12, JP13, JP14, JP15, JP18, JP21, JP22, JP23, JP24, JP25, JP26, JP27, JP28 " "Pin Header                    " "                   " "Connectors      " "              " "      " "         " "               " "                                                                                                          " "Header-Straight-1 P" "osit" "ion " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "Through Hole  " "            " "0.100"" (2.54mm)  " "       " "                " "          " "               " "       " "             " "Headers                 " "                        " "            " "          " "Male Pin" "s           " "              " "     " "               " "             " 
"4   PINHD-1X2     " "   PINHD-1X2                        1X02                    " "   JP3, JP10, JP19, JP20                                                                                                      " "Pin Header                    " "                   " "Connectors      " "              " "      " "         " "               " "                                                                                                          " "Header-Straight-2 P" "osit" "ion " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "Through Hole  " "            " "0.100"" (2.54mm)  " "       " "                " "          " "               " "       " "             " "Headers                 " "                        " "            " "          " "Male Pin" "s           " "              " "     " "               " "             " 
"1   PINHD-1X4     " "   PINHD-1X4                        1X04                    " "   IO15/IO13/IO12/IO14                                                                                                        " "Pin Header                    " "                   " "Connectors      " "              " "      " "         " "               " "                                                                                                          " "Header-Straight-4 P" "osit" "ion " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "Through Hole  " "            " "0.100"" (2.54mm)  " "       " "                " "          " "               " "       " "             " "Headers                 " "                        " "            " "          " "Male Pin" "s           " "              " "     " "               " "             " 
"2   PINHD-1X55X2MM" "   PINHD-1X55X2MM                   1_05X2MM                " "   MISO/SCK/CS/RXGPS/TXGPS, MOSI/SCL/TXD0/RXD0/SDA                                                                            " "Pin Header                    " "                   " "Connectors      " "              " "      " "         " "               " "                                                                                                          " "Header-Straight-5 P" "osit" "ion " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "Through Hole  " "            " "0.079"" (2.00mm)  " "       " "                " "          " "               " "       " "             " "Headers                 " "                        " "            " "          " "Male Pin" "s           " "              " "     " "               " "             " 
"2   SWITCH_MOMENTA" "RY SWITCH_MOMENTARY                 SWITCH-MOMENTARY-PTH-6.5" "MM EN, RST                                                                                                                    " "                              " "                   " "                " "              " "      " "         " "               " "                                                                                                          " "                   " "    " "    " "    " "  " "     " "    " "    " "   " "           " "  " "     " "      " "           " "          " "   " "         " "        " "       " "      " "       " "        " "     " "                " "                " "           " "             " "            " "          " "              " "              " "               " "                      " "             " "              " "            " "                 "  "       " "                " "          " "               " "       " "             " "                        " "                        " "            " "          " "        " "            " "              " "     " "               " "             " 
